adcode,name,center
411100,漯河市,"114.0166,33.58038"
411200,三门峡市,"111.200482,34.773196"
411300,南阳市,"112.584753,33.016102"
411400,商丘市,"115.656358,34.415165"
411500,信阳市,"114.091058,32.148624"
411600,周口市,"114.701222,33.634652"
411700,驻马店市,"114.021988,33.014038"
419001,济源市,"112.602347,35.069057"
420100,武汉市,"114.304569,30.593354"
420200,黄石市,"115.038999,30.201082"
420300,十堰市,"110.798921,32.629057"
420500,宜昌市,"111.286962,30.69217"
420600,襄阳市,"112.121743,32.010161"
420700,鄂州市,"114.894909,30.391461"
420800,荆门市,"112.199009,31.035445"
420900,孝感市,"113.956962,30.918311"
421000,荆州市,"112.24143,30.336282"
421100,黄冈市,"114.872425,30.453722"
421200,咸宁市,"114.322601,29.84135"
421300,随州市,"113.382324,31.690275"
422800,恩施土家族苗族自治州,"109.488076,30.272104"
429004,仙桃市,"113.442973,30.328407"
429005,潜江市,"112.900279,30.401954"
429006,天门市,"113.166545,30.663706"
429021,神农架林区,"110.675879,31.745103"
430100,长沙市,"112.938882,28.228304"
430200,株洲市,"113.132783,27.828862"
430300,湘潭市,"112.945439,27.83136"
430400,衡阳市,"112.572016,26.894216"
430500,邵阳市,"111.467855,27.239528"
430600,岳阳市,"113.128922,29.35648"
430700,常德市,"111.69905,29.031446"
430800,张家界市,"110.478887,29.117343"
430900,益阳市,"112.355994,28.554853"
431000,郴州市,"113.015517,25.770117"
431100,永州市,"111.613482,26.419861"
431200,怀化市,"110.001598,27.569813"
431300,娄底市,"111.994468,27.699838"
433100,湘西土家族苗族自治州,"109.673345,28.215983"
440100,广州市,"113.264499,23.130061"
440200,韶关市,"113.597324,24.810977"
440300,深圳市,"114.057939,22.543527"
440400,珠海市,"113.576892,22.271644"
440500,汕头市,"116.681956,23.354152"
440600,佛山市,"113.121586,23.021351"
440700,江门市,"113.081548,22.578948"
440800,湛江市,"110.357538,21.270108"
440900,茂名市,"110.925533,21.662728"
441200,肇庆市,"112.465245,23.047747"
441300,惠州市,"114.415587,23.112368"
441400,梅州市,"116.122046,24.288832"
441500,汕尾市,"115.375557,22.787204"
441600,河源市,"114.700215,23.744276"
441700,阳江市,"111.98343,21.856853"
441800,清远市,"113.056098,23.682064"
441900,东莞市,"113.751884,23.021016"
442000,中山市,"113.392517,22.517024"
445100,潮州市,"116.621901,23.657662"
445200,揭阳市,"116.372732,23.550968"
445300,云浮市,"112.044524,22.915163"
450100,南宁市,"108.366407,22.8177"
450200,柳州市,"109.428071,24.326442"
450300,桂林市,"110.179752,25.235615"
450400,梧州市,"111.279022,23.476733"
450500,北海市,"109.120248,21.481305"
450600,防城港市,"108.35467,21.686732"
450700,钦州市,"108.654355,21.980894"
450800,贵港市,"109.598903,23.11182"
450900,玉林市,"110.18097,22.654001"
451000,百色市,"106.61869,23.90307"
451100,贺州市,"111.567216,24.404182"
451200,河池市,"108.63639,24.48523"
451300,来宾市,"109.221243,23.750105"
451400,崇左市,"107.364973,22.377139"
460100,海口市,"110.200162,20.046316"
460200,三亚市,"109.511709,18.252865"
460300,三沙市,"112.338649,16.831004"
460400,儋州市,"109.580812,19.520948"
469001,五指山市,"109.516784,18.774827"
469002,琼海市,"110.474524,19.259112"
469005,文昌市,"110.797473,19.544234"
469006,万宁市,"110.392605,18.793697"
469007,东方市,"108.651829,19.095187"
469021,定安县,"110.358001,19.681215"
469022,屯昌县,"110.101667,19.351662"
469023,澄迈县,"110.007497,19.738885"
469024,临高县,"109.690508,19.912025"
469025,白沙黎族自治县,"109.4429,19.221641"
469026,昌江黎族自治县,"109.055783,19.298139"
469027,乐东黎族自治县,"109.173384,18.750063"
469028,陵水黎族自治县,"110.037553,18.506045"
469029,保亭黎族苗族自治县,"109.700279,18.640339"
469030,琼中黎族苗族自治县,"109.838423,19.03327"
500200,重庆郊县,"108.170255,29.291965"
510100,成都市,"104.066301,30.572961"
510300,自贡市,"104.779307,29.33924"
510400,攀枝花市,"101.71846,26.582417"
510500,泸州市,"105.441866,28.87098"
510600,德阳市,"104.397795,31.127449"
510700,绵阳市,"104.679127,31.467673"
510800,广元市,"105.844004,32.435774"
510900,遂宁市,"105.592602,30.53268"
511000,内江市,"105.057992,29.58021"
511100,乐山市,"103.766085,29.552275"
511300,南充市,"106.110565,30.837235"
511400,眉山市,"103.848417,30.077113"
511500,宜宾市,"104.642826,28.752354"
511600,广安市,"106.632647,30.456354"
511700,达州市,"107.46778,31.209278"
511800,雅安市,"103.041538,30.009998"
511900,巴中市,"106.747548,31.867853"
512000,资阳市,"104.627265,30.129236"
513200,阿坝藏族羌族自治州,"102.224504,31.899427"
513300,甘孜藏族自治州,"101.96231,30.04952"
513400,凉山彝族自治州,"102.267713,27.881396"
520100,贵阳市,"106.628201,26.646694"
520200,六盘水市,"104.830357,26.592538"
520300,遵义市,"107.031922,27.721931"
520400,安顺市,"105.9476,26.253103"
520500,毕节市,"105.291544,27.283615"
520600,铜仁市,"109.189528,27.731555"
522300,黔西南布依族苗族自治州,"104.906419,25.087733"
522600,黔东南苗族侗族自治州,"107.982838,26.583759"
522700,黔南布依族苗族自治州,"107.522303,26.253136"
530100,昆明市,"102.833669,24.88149"
530300,曲靖市,"103.796288,25.490866"
530400,玉溪市,"102.526673,24.346786"
530500,保山市,"99.161489,25.112018"
530600,昭通市,"103.717078,27.338185"
530700,丽江市,"100.225936,26.855165"
530800,普洱市,"100.966011,22.825229"
530900,临沧市,"100.088837,23.884175"
532300,楚雄彝族自治州,"101.528304,25.045678"
532500,红河哈尼族彝族自治州,"103.374873,23.363129"
532600,文山壮族苗族自治州,"104.21567,23.400983"
532800,西双版纳傣族自治州,"100.797002,22.009037"
532900,大理白族自治州,"100.267608,25.606548"
533100,德宏傣族景颇族自治州,"98.585621,24.433146"
533300,怒江傈僳族自治州,"98.8566,25.817555"
533400,迪庆藏族自治州,"99.70211,27.819149"
540100,拉萨市,"91.171924,29.653491"
540200,日喀则市,"88.880423,29.266838"
540300,昌都市,"97.170425,31.142879"
540400,林芝市,"94.361436,29.64875"
540500,山南市,"91.771426,29.237722"
540600,那曲市,"92.05151,31.477905"
542500,阿里地区,"80.105786,32.500987"
610100,西安市,"108.939645,34.343207"
610200,铜川市,"108.945116,34.897133"
610300,宝鸡市,"107.237682,34.362862"
610400,咸阳市,"108.708837,34.329896"
610500,渭南市,"109.470962,34.520632"
610600,延安市,"109.49468,36.650109"
610700,汉中市,"107.02319,33.066373"
610800,榆林市,"109.734104,38.28576"
610900,安康市,"109.029017,32.685435"
611000,商洛市,"109.918646,33.873358"
620100,兰州市,"103.834228,36.060798"
620200,嘉峪关市,"98.2882,39.77325"
620300,金昌市,"102.187972,38.521468"
620400,白银市,"104.138872,36.545123"
620500,天水市,"105.724828,34.581514"
620600,武威市,"102.637821,37.92898"
620700,张掖市,"100.449858,38.924766"
620800,平凉市,"106.664913,35.542417"
620900,酒泉市,"98.49432,39.733416"
621000,庆阳市,"107.643433,35.709459"
621100,定西市,"104.592342,35.607947"
621200,陇南市,"104.960296,33.370174"
622900,临夏回族自治州,"103.210386,35.601792"
623000,甘南藏族自治州,"102.911736,34.983266"
630100,西宁市,"101.777795,36.616621"
630200,海东市,"102.41064,36.473448"
632200,海北藏族自治州,"100.900944,36.954612"
632300,黄南藏族自治州,"102.015397,35.519317"
632500,海南藏族自治州,"100.622647,36.296399"
632600,果洛藏族自治州,"100.245161,34.472179"
632700,玉树藏族自治州,"97.006292,33.006308"
632800,海西蒙古族藏族自治州,"97.33197,37.348114"
640100,银川市,"106.230977,38.487783"
640200,石嘴山市,"106.382792,38.984632"
640300,吴忠市,"106.198613,37.997755"
640400,固原市,"106.24267,36.01628"
640500,中卫市,"105.19677,37.500185"
650100,乌鲁木齐市,"87.616824,43.825377"
650200,克拉玛依市,"84.889239,45.577712"
650400,吐鲁番市,"89.250261,42.972736"
650500,哈密市,"93.515053,42.819346"
652300,昌吉回族自治州,"87.308995,44.011044"
652700,博尔塔拉蒙古自治州,"82.066363,44.906039"
652800,巴音郭楞蒙古自治州,"86.145298,41.764115"
652900,阿克苏地区,"80.265068,41.170712"
653000,克孜勒苏柯尔克孜自治州,"76.168157,39.716236"
653100,喀什地区,"75.989746,39.470492"
653200,和田地区,"79.921646,37.114406"
654000,伊犁哈萨克自治州,"81.323691,43.917106"
654200,塔城地区,"82.980316,46.745364"
654300,阿勒泰地区,"88.141253,47.844924"
659001,石河子市,"86.080397,44.305368"
659002,阿拉尔市,"81.280532,40.547205"
659003,图木舒克市,"79.074965,39.867776"
659004,五家渠市,"87.542852,44.166489"
659005,北屯市,"87.834419,47.326733"
659006,铁门关市,"85.670291,41.862997"
659007,双河市,"82.35365587,44.84052409"
659008,可克达拉市,"80.994153,43.940381"
659009,昆玉市,"79.270193,37.215372"
659010,胡杨河市,"84.827592,44.692894"
659011,新星市,"93.74831,42.797043"
310000,上海市,"121.473667,31.230525"
500000,重庆市,"106.551787,29.56268"
810000,香港特别行政区,"114.170714,22.278354"
820000,澳门特别行政区,"113.543076,22.186927"
120000,天津市,"117.201509,39.085318"
110000,北京市,"116.407387,39.904179"
